"","Date","MMM","AXP","AMGN","AAPL","BA","CAT","CVX","CSCO","KO","DOW","GS","HD","HON","IBM","INTC","JNJ","JPM","MCD","MRK","MSFT","NKE","PG","CRM","TRV","UNH","VZ","V","WBA","WMT","DIS","DJI"
"1","2020-01-21",174.446274,128.685135,231.209259,77.827667,311.516571,142.577957,108.81176,47.525467,55.711769,50.064194,241.229294,228.821594,176.805542,132.235092,59.08094,146.329147,132.892532,207.244492,87.889893,165.185989,103.801193,123.050858,185.270004,138.015686,296.727844,58.393719,206.021866,52.204453,114.107681,143.559998,29196.039063
"2","2020-01-22",173.123749,129.631561,230.382111,78.105476,307.172424,139.430191,108.418045,47.788422,56.140545,48.417595,242.554764,228.772476,175.945618,136.719879,61.208042,145.329254,132.737137,207.519287,87.577286,164.392303,103.711861,123.265549,182.75,138.436844,296.787109,58.548611,206.628143,51.768364,114.611137,144.009995,29186.269531
"3","2020-01-23",172.841766,129.51326,228.718094,78.481621,315.910431,139.547501,108.6101,47.720245,56.354935,47.827484,241.111496,229.509186,175.486343,135.750717,61.78373,145.603714,132.601166,209.46257,86.512489,165.404251,102.252808,122.702065,183.979996,131.433716,295.671417,58.577652,205.256592,51.652073,114.32486,142.199997,29160.089844
"4","2020-01-24",173.240448,133.200394,219.522293,78.25544,321.139313,137.230667,107.409721,47.574165,56.208755,46.152336,237.518097,227.888428,173.092178,133.555817,66.808777,145.397873,129.30896,207.323013,83.992149,163.737518,101.27018,122.849319,182.110001,132.011597,289.10556,58.354992,203.74588,50.431034,112.903328,140.080002,28989.730469
"5","2020-01-27",170.789902,128.793579,216.953278,75.954315,314.727478,132.684998,106.007683,46.230209,56.013859,44.905491,233.80687,227.092789,169.584,131.712494,64.09623,145.819382,128.221283,205.458237,84.109367,160.999283,99.493507,123.389252,180.710007,130.983154,280.49588,57.996815,200.456131,50.615158,114.374222,135.899994,28535.800781
"6","2020-01-28",161.016861,130.577988,218.79245,78.103012,314.687714,133.672333,106.708702,46.522373,55.555847,44.886452,238.166092,229.715469,171.460266,132.596146,65.676926,146.554626,130.552032,206.488754,84.25589,164.154221,99.662247,123.723022,182.850006,131.629608,282.253357,58.761585,201.609024,51.148155,115.104721,138.369995,28722.849609
"7","2020-01-29",157.535522,129.818863,221.040314,79.7379,320.115387,132.733856,105.988487,45.821175,55.555847,47.275448,235.750839,229.872635,171.665466,130.828842,64.720711,147.574127,130.357803,210.463654,85.223,166.713821,99.096481,122.770775,181.770004,130.532608,279.320923,57.628944,203.60672,50.663612,114.403831,136.059998,28734.449219
"8","2020-01-30",158.031464,131.337112,220.06723,79.622337,321.387817,132.333054,106.977592,46.006214,57.358662,46.133301,239.687866,228.664429,174.274582,129.954681,64.857307,147.397675,131.969925,212.171402,84.500122,171.416428,97.458786,123.644485,185.669998,131.443497,277.425232,57.464378,206.936249,50.343815,115.084984,137.809998,28859.439453
"9","2020-01-31",154.287567,128.034454,210.238892,76.091995,316.387573,128.403259,102.886696,44.769386,56.9104,43.848999,233.42395,224.057556,169.271301,136.567856,62.378933,145.937027,128.541748,210.00238,83.46463,168.886551,95.582863,122.338837,182.309998,128.916504,269.003143,57.541821,197.752747,49.277824,113.02179,138.309998,28256.029297
"10","2020-02-03",152.274612,129.148468,211.04657,75.883018,314.131012,126.858704,102.060844,45.314754,57.085804,44.486698,234.661041,227.4366,167.414642,138.981308,62.85704,147.211411,129.522629,211.189941,85.320694,173.003815,98.530739,122.819862,185.419998,130.865631,270.553284,56.196205,199.581512,49.374737,112.804604,141.320007,28399.810547
"11","2020-02-04",152.906693,129.986465,215.843964,78.388199,316.05954,130.514786,102.608208,46.376289,57.339172,45.733547,237.537735,230.835281,171.215958,141.679779,63.871811,148.613266,131.387222,210.640335,86.317108,178.698502,100.625023,123.359802,188.339996,129.856781,277.286957,56.428547,202.314667,50.72176,113.791779,144.729996,28807.630859
"12","2020-02-05",157.85643,131.711731,225.701508,79.027405,327.600861,134.356628,105.902046,47.184612,57.348915,47.218342,239.854797,233.890152,172.867401,148.539993,65.706192,150.956161,133.62088,210.394974,83.845619,178.48024,99.791283,124.488747,185.490005,133.970505,291.988617,57.241718,201.56926,51.341972,115.312027,141.369995,29290.849609
"13","2020-02-06",158.401001,131.366669,225.224655,79.951775,339.410614,134.170883,105.14341,47.418346,57.485352,46.828106,237.419907,234.607208,172.329971,148.948563,65.784637,150.505203,133.640305,208.922775,83.699074,182.180817,99.523285,124.812706,186.729996,133.696274,288.759979,57.541821,201.797852,51.836201,114.818443,142.699997,29379.769531
"14","2020-02-07",155.668442,129.956909,223.161697,78.865021,334.758301,130.377914,104.615242,46.717148,57.680244,45.714508,233.669418,233.094513,171.284332,147.287613,64.735458,148.897537,133.212997,207.686142,83.112953,182.438751,98.699478,123.77211,185.720001,133.216324,285.560974,58.025852,201.499695,51.593933,114.95665,141.020004,29102.509766
