Company,Exchange,Symbol,Industry,Index weighting
3M,NYSE,MMM,Conglomerate,3.80%
American Express,NYSE,AXP,Financial services,2.35%
Amgen,NASDAQ,AMGN,Pharmaceutical industry,5.81%
Apple Inc.,NASDAQ,AAPL,Information technology,2.87%
Boeing,NYSE,BA,Aerospaceanddefense,4.04%
Caterpillar Inc.,NYSE,CAT,ConstructionandMining,3.30%
Chevron Corporation,NYSE,CVX,Petroleum industry,1.97%
Cisco Systems,NASDAQ,CSCO,Information technology,0.97%
The Coca-Cola Company,NYSE,KO,Food industry,1.14%
Dow Inc.,NYSE,DOW,Chemical industry,1.06%
Goldman Sachs,NYSE,GS,Financial services,4.77%
The Home Depot,NYSE,HD,Retailing,6.57%
Honeywell,NYSE,HON,Conglomerate,3.87%
IBM,NYSE,IBM,Information technology,2.87%
Intel,NASDAQ,INTC,Information technology,1.16%
Johnson & Johnson,NYSE,JNJ,Pharmaceutical industry,3.53%
JPMorgan Chase,NYSE,JPM,Financial services,2.36%
McDonald's,NYSE,MCD,Food industry,4.93%
Merck & Co.,NYSE,MRK,Pharmaceutical industry,1.97%
Microsoft,NASDAQ,MSFT,Information technology,5.26%
Nike,NYSE,NKE,Apparel,2.58%
Procter & Gamble,NYSE,PG,Fast-moving consumer goods,3.19%
Salesforce,NYSE,CRM,Information technology,6.23%
The Travelers Companies,NYSE,TRV,Financial services,2.66%
UnitedHealth Group,NYSE,UNH,Managed health care,7.22%
Verizon,NYSE,VZ,Telecommunication,1.36%
Visa Inc.,NYSE,V,Financial services,4.95%
Walgreens Boots Alliance,NASDAQ,WBA,Retailing,0.89%
Walmart,NYSE,WMT,Retailing,3.22%
The Walt Disney Company,NYSE,DIS,Broadcastingandentertainment,3.11%
